typo	tf	df	sdf	correct	tf	df	sdf
mundar	0	0	0	murdar	0	0	0
kokareç	0	0	0	kokoreç	0	0	0
candarma	0	0	0	jandarma	5	3	3
nülüfer	0	0	0	nilüfer	0	0	0
poça	0	0	0	poğaça	0	0	0
karsör	0	0	0	karoser	0	0	0
radyosyon	0	0	0	radyasyon	0	0	0
halisünasyon	0	0	0	halüsinasyon	0	0	0
ilizyon	0	0	0	illüzyon	0	0	0
netekim	0	0	0	nitekim	12	2	2
istambul	0	0	0	istanbul	112	3	3
parlemento	0	0	0	parlamento	3	3	4
trabzan	0	0	0	tırabzan	0	0	0
nisbet	0	0	0	nispet	3	2	4
klavuz	0	0	0	kılavuz	5	3	3
benle	0	0	0	benimle	1	1	1
olaraktan	0	0	0	olarak	1380	4	4
dabruka	0	0	0	darbuka	0	0	0
gaste	0	0	0	gazete	42	4	4
ıstırap	0	0	0	ızdırap	2	1	1
tribuşon	0	0	0	tirbuşon	0	0	0
ıstırar	0	0	0	ıztırar	0	0	0
ultrasyon	0	0	0	ultrason	0	0	0
dokunmatik	0	0	0	dokunmalı	0	0	0
kavaltı	0	0	0	kahvaltı	1	1	1
muacir	0	0	0	muhacir	0	0	0
telafuz	0	0	0	telaffuz	10	4	4
komünükasyon	0	0	0	komünikasyon	0	0	0
mağma	0	0	0	magma	0	0	0
beyenmek	0	0	0	beğenmek	1	1	1
mazohist	0	0	0	mazoşist	0	0	0
okşizen	0	0	0	oksijen	0	0	0
panaroma	0	0	0	panorama	0	0	0
çekinser	0	0	0	çekimser	0	0	0
labaratuar	0	0	0	laboratuvar	1	1	1
laylon	0	0	0	naylon	0	0	0
revanş	0	0	0	rövanş	0	0	0
techizat	0	0	0	teçhizat	0	0	0
payton	0	0	0	fayton	0	0	0
müsayit	0	0	0	müsait	1	1	1
mahsuz	0	0	0	mahsus	3	3	3
diyaloga	0	0	0	diyaloğa	0	0	0
viyolo	0	0	0	viyola	0	0	0
vürüs	0	0	0	virüs	2	2	2
aporlor	0	0	0	hoparlör	0	0	1
statyum	0	0	0	stadyum	0	0	0
yannış	0	0	0	yanlış	160	3	3
orjinal	0	0	0	orijinal	5	1	1
muaffak	0	0	0	muvaffak	1	1	1
parlementer	0	0	0	parlamenter	0	0	0
nacizane	0	0	0	naçizane	0	0	0
parelel	0	0	0	paralel	1	1	1
istihbaratlar	0	0	0	istihbarat	0	0	0
karemel	0	0	0	karamel	0	0	0
manüpülasyon	0	0	0	manipülasyon	0	0	0
fesetmek	0	0	0	feshetmek	0	0	0
kilot	0	0	0	külot	0	0	0
herkeş	0	0	0	herkes	22	2	4
pisküüt	0	0	0	bisküvi	0	0	0
dekaratör	0	0	0	dekoratör	0	0	0
personeller	0	0	0	personel	0	0	0
proğram	0	0	0	program	10	4	4
alobora	0	0	0	alabora	0	0	0
fermar	0	0	0	fermuar	0	0	1
